site;LAT;LON;abtrichia;aegla;agriogomphus;alisotrichia;americabaetis;anacroneuria;antoptila;apobaetis;archeogomphus;argia;atopsyche;austrotinoides;baetodes;belostoma;cacoides;caenis;camelobaetidius;chimarra;cloeodes;coridalus;cryphocricus;cryptonynpha;cyanogomphus;farrodes;gomphoides;gomphus;gripopteryx;grumichella;guarinyperla;hagenulopsis;helicopsyche;heliocharis;hetaerina;heterelmis;hexachorus;hexacylloepus;hirudinea;homothraulus;hudsonema;hydrochara;hydroptila;hydrosmidon;Itaura;kempnya;lepthohyphes;leucotrichia;limnocoris;macrelmis;marilia;microcylloepus;mortoniella;needhamella;neoelmis;oecetis;orthotrichia;oxyetrichia;paracleodes;paragomphus;paragripopteryx;paramaka;perithemis;phanocercus;phylloicus;polyplectropus;progomphus;psephenus;rhagovelia;rhyacopsyche;simothraulopisis;smicridea;thraulodes;traverhyphes;tricorythodes;tricorythopsis;tupiperla;xenelmis;%OD;alcalinity;Hab_quality;width;DO;order;pH;depth;flow velocity;temperature;soiid;conductivity;turbitity;Total_N;Total_P;mean_altitude;mean_declivity;area;%_antropic_use;%_estepe;%_field;%_florest
35;-30.09025818;-55.7899335;0;1;0;0;11;0;0;0;0;4;0;2;0;0;0;4;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;36;0;0;0;6;0;0;102.5;68.5;57;10;8.1;4;6.7;23;57;30.5;102.2;154.8;11.5;0.7;0.02;169;4.06;28.8;0;1;0;0
36;-29.95706755;-56.78570608;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;1;0;136;22.5;62;14;9;3;7.1;23;60.75;27;73;62;8.9;1.8;0.02;122;1.17;2.9;0.75;0.25;0;0
37;-30.4100315;-56.17550187;0;0;0;0;3;3;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;44;0;5;0;1;0;0;80;25;30;4;6;2;6.9;5.5;26.25;29.3;65;46;14.8;0.8;0.02;184;5.74;26.9;0;1;0;0
38;-30.70827179;-55.88700487;0;1;0;0;1;1;0;0;0;1;0;0;12;0;0;0;0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;30;0;1;0;1;4;0;125;50;70;10;8.5;4;7.1;23.5;69.75;29;193.6;250;40.7;0.6;0.02;256;2.39;576.3;0.01;0.99;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
